PiSnoop 9.8.2.0 logfile created 14:01:38 09/11/2023 (dd/mm/yyyy)
Tip: in Excel select whole heading row (row 4) and do Data... Filter to view only desired messages. 64 bytes shown if any monitored channel in CAN-FD mode. #channel_types=CAN1:CAN#

Time (abs),Time (rel),Channel,Dir,ID,Name,Len,B0,B1,B2,B3,B4,B5,B6,B7,DBC signal name/value pairs...
14:07:28,349.7440,CAN1,Tx,0x7E0,,8,02,10,03,00,00,00,00,00,
14:07:28,349.7440,CAN1,Rx,0x7E8,,8,06,50,03,00,32,13,88,00,
14:07:28,349.7500,CAN1,Tx,0x7E0,,8,04,31,01,02,03,00,00,00,
14:07:28,349.7500,CAN1,Rx,0x7E8,,8,04,71,01,02,03,00,00,00,
14:07:28,349.7581,CAN1,Tx,0x7E0,,8,03,28,03,01,00,00,00,00,
14:07:28,349.7581,CAN1,Rx,0x7E8,,8,02,68,03,00,00,00,00,00,
14:07:28,349.7651,CAN1,Tx,0x7E0,,8,03,28,03,01,00,00,00,00,
14:07:28,349.7651,CAN1,Rx,0x7E8,,8,02,68,03,00,00,00,00,00,
14:07:28,349.7731,CAN1,Tx,0x7E0,,8,02,10,02,00,00,00,00,00,
14:07:28,349.7731,CAN1,Rx,0x7E8,,8,06,50,02,00,32,13,88,00,
14:07:29,350.2799,CAN1,Tx,0x7E0,,8,02,27,61,00,00,00,00,00,
14:07:29,350.2809,CAN1,Rx,0x7E8,,8,10,12,67,61,e0,f6,69,78,
14:07:29,350.2819,CAN1,Tx,0x7E0,,8,30,00,00,00,00,00,00,00,
14:07:29,350.2829,CAN1,Rx,0x7E8,,8,21,2f,64,69,bf,40,54,46,
14:07:29,350.2829,CAN1,Rx,0x7E8,,8,22,5c,c1,66,eb,ad,00,00,
14:07:29,350.2900,CAN1,Tx,0x7E0,,8,11,02,27,62,00,00,00,00,
14:07:29,350.2910,CAN1,Rx,0x7E8,,8,30,00,00,00,00,00,00,00,
14:07:29,350.2920,CAN1,Tx,0x7E0,,8,21,00,00,00,00,00,00,00,
14:07:29,350.2930,CAN1,Tx,0x7E0,,8,22,00,00,00,00,00,ff,ff,
14:07:29,350.2940,CAN1,Tx,0x7E0,,8,23,ff,ff,ff,ff,17,0b,09,
14:07:29,350.2950,CAN1,Tx,0x7E0,,8,24,13,07,00,65,50,69,53,
14:07:29,350.2960,CAN1,Tx,0x7E0,,8,25,6e,6f,6f,70,00,00,00,
14:07:29,350.2970,CAN1,Tx,0x7E0,,8,26,00,00,00,00,00,00,00,
14:07:29,350.2980,CAN1,Tx,0x7E0,,8,27,00,00,00,00,00,00,00,
14:07:29,350.2990,CAN1,Tx,0x7E0,,8,28,00,00,00,00,00,00,00,
14:07:29,350.3000,CAN1,Tx,0x7E0,,8,29,00,00,00,00,00,00,00,
14:07:29,350.3010,CAN1,Tx,0x7E0,,8,2a,00,00,00,00,00,00,00,
14:07:29,350.3020,CAN1,Tx,0x7E0,,8,2b,00,00,00,00,00,00,00,
14:07:29,350.3030,CAN1,Tx,0x7E0,,8,2c,00,00,00,00,00,00,00,
14:07:29,350.3040,CAN1,Tx,0x7E0,,8,2d,00,00,00,00,00,00,00,
14:07:29,350.3050,CAN1,Tx,0x7E0,,8,2e,00,00,00,00,00,00,00,
14:07:29,350.3060,CAN1,Tx,0x7E0,,8,2f,00,00,00,00,00,00,00,
14:07:29,350.3080,CAN1,Tx,0x7E0,,8,20,00,00,00,00,00,00,00,
14:07:29,350.3080,CAN1,Tx,0x7E0,,8,21,00,00,00,00,00,00,00,
14:07:29,350.3090,CAN1,Tx,0x7E0,,8,22,00,00,00,00,00,00,00,
14:07:29,350.3100,CAN1,Tx,0x7E0,,8,23,00,00,00,00,00,00,00,
14:07:29,350.3110,CAN1,Tx,0x7E0,,8,24,00,00,00,00,00,00,00,
14:07:29,350.3120,CAN1,Tx,0x7E0,,8,25,00,00,00,00,00,00,00,
14:07:29,350.3130,CAN1,Tx,0x7E0,,8,26,00,00,00,00,00,00,00,
14:07:29,350.3140,CAN1,Tx,0x7E0,,8,27,00,00,00,00,00,00,00,
14:07:29,350.3150,CAN1,Tx,0x7E0,,8,28,00,00,00,00,00,00,00,
14:07:29,350.3160,CAN1,Tx,0x7E0,,8,29,00,00,00,00,00,00,00,
14:07:29,350.3180,CAN1,Tx,0x7E0,,8,2a,00,00,00,00,00,00,00,
14:07:29,350.3180,CAN1,Tx,0x7E0,,8,2b,00,00,00,00,00,00,00,
14:07:29,350.3190,CAN1,Tx,0x7E0,,8,2c,00,00,00,00,00,00,00,
14:07:29,350.3200,CAN1,Tx,0x7E0,,8,2d,00,00,00,00,00,00,00,
14:07:29,350.3210,CAN1,Tx,0x7E0,,8,2e,00,00,00,00,00,00,00,
14:07:29,350.3220,CAN1,Tx,0x7E0,,8,2f,00,00,00,00,00,00,00,
14:07:29,350.3230,CAN1,Tx,0x7E0,,8,20,00,00,00,e0,f6,69,78,
14:07:29,350.3240,CAN1,Tx,0x7E0,,8,21,2f,64,69,bf,40,54,46,
14:07:29,350.3250,CAN1,Tx,0x7E0,,8,22,5c,c1,66,eb,ad,e3,80,
14:07:29,350.3260,CAN1,Tx,0x7E0,,8,23,85,c8,17,0d,5b,d5,64,
14:07:29,350.3270,CAN1,Tx,0x7E0,,8,24,e1,ca,2b,a2,90,9f,fb,
14:07:29,350.3290,CAN1,Rx,0x7E8,,8,02,67,62,00,00,00,00,00,
14:07:29,350.3340,CAN1,Tx,0x7E0,,8,10,0d,31,01,ff,00,44,80,
14:07:29,350.3350,CAN1,Rx,0x7E8,,8,30,00,00,00,00,00,00,00,
14:07:29,350.3370,CAN1,Tx,0x7E0,,8,21,12,80,00,00,00,00,40,
14:07:29,350.3370,CAN1,Rx,0x7E8,,8,03,7f,31,78,00,00,00,00,
14:07:29,350.5544,CAN1,Rx,0x7E8,,8,05,71,01,ff,00,00,00,00,
